matter	dept	mb
Administration of the Jervis Bay Territory, the Territory of Cocos (Keeling) Islands, the Territory of Christmas Island, the Coral Sea Islands Territory, the Territory of Ashmore and Cartier Islands, and of Commonwealth responsibilities on Norfolk Island	Infrastructure and Regional Development	2016-10-27
Administration of the Jervis Bay Territory, the Territory of Cocos (Keeling) Islands, the Territory of Christmas Island, the Coral Sea Islands Territory, the Territory of Ashmore and Cartier Islands, and of Commonwealth responsibilities on Norfolk Island	Infrastructure and Regional Development	2017-04-13
Administration of the Jervis Bay Territory, the Territory of Cocos (Keeling) Islands, the Territory of Christmas Island, the Coral Sea Islands Territory, the Territory of Ashmore and Cartier Islands, and of Commonwealth responsibilities on Norfolk Island	Infrastructure and Regional Development	2017-11-30
Administration of the Jervis Bay Territory, the Territory of Cocos (Keeling) Islands, the Territory of Christmas Island, the Coral Sea Islands Territory, the Territory of Ashmore and Cartier Islands, and of Commonwealth responsibilities on Norfolk Island	Infrastructure, Regional Development and Cities	2017-12-20
Administration of the Jervis Bay Territory, the Territory of Cocos (Keeling) Islands, the Territory of Christmas Island, the Coral Sea Islands Territory, the Territory of Ashmore and Cartier Islands, and of Commonwealth responsibilities on Norfolk Island	Infrastructure, Regional Development and Cities	2018-04-19
Administration of the Jervis Bay Territory, the Territory of Cocos (Keeling) Islands, the Territory of Christmas Island, the Coral Sea Islands Territory, the Territory of Ashmore and Cartier Islands, and of Commonwealth responsibilities on Norfolk Island	Infrastructure, Regional Development and Cities	2018-05-10
Administration of the Jervis Bay Territory, the Territory of Cocos (Keeling) Islands, the Territory of Christmas Island, the Coral Sea Islands Territory, the Territory of Ashmore and Cartier Islands, and of Commonwealth responsibilities on Norfolk Island	Infrastructure, Regional Development and Cities	2018-08-28
Administrative law	Attorney-General's	2001-11-26
Administrative law	Attorney-General's	2003-12-18
Administrative law	Attorney-General's	2004-10-26
Administrative law	Attorney-General's	2004-12-16
Administrative law	Attorney-General's	2005-07-21
Administrative law	Attorney-General's	2006-01-27
Administrative law	Attorney-General's	2006-09-21
Administrative law	Attorney-General's	2007-01-30
Administrative law	Attorney-General's	2007-12-03
Administrative law	Attorney-General's	2008-01-25
Administrative law	Attorney-General's	2008-05-01
Administrative law	Attorney-General's	2010-03-08
Administrative law	Attorney-General's	2010-05-06
Administrative law	Attorney-General's	2010-06-29
Administrative law	Attorney-General's	2010-09-14
Administrative law	Attorney-General's	2010-10-14
Administrative law	Attorney-General's	2011-10-19
Administrative law	Attorney-General's	2011-12-07
Administrative law	Attorney-General's	2011-12-14
Administrative law	Attorney-General's	2012-02-09
Administrative law	Attorney-General's	2013-03-25
Administrative support for Royal Commissions and certain other inquiries	Attorney-General's	2001-11-26
Administrative support for Royal Commissions and certain other inquiries	Attorney-General's	2003-12-18
Administrative support for Royal Commissions and certain other inquiries	Attorney-General's	2004-10-26
Administrative support for Royal Commissions and certain other inquiries	Attorney-General's	2004-12-16
Administrative support for Royal Commissions and certain other inquiries	Attorney-General's	2005-07-21
Administrative support for Royal Commissions and certain other inquiries	Attorney-General's	2006-01-27
Administrative support for Royal Commissions and certain other inquiries	Attorney-General's	2006-09-21
Administrative support for Royal Commissions and certain other inquiries	Attorney-General's	2007-01-30
Administrative support for Royal Commissions and certain other inquiries	Attorney-General's	2007-12-03
Administrative support for Royal Commissions and certain other inquiries	Attorney-General's	2008-01-25
Administrative support for Royal Commissions and certain other inquiries	Attorney-General's	2008-05-01
Administrative support for Royal Commissions and certain other inquiries	Attorney-General's	2010-03-08
Administrative support for Royal Commissions and certain other inquiries	Attorney-General's	2010-05-06
Administrative support for Royal Commissions and certain other inquiries	Attorney-General's	2010-06-29
Administrative support for Royal Commissions and certain other inquiries	Attorney-General's	2010-09-14
Administrative support for Royal Commissions and certain other inquiries	Attorney-General's	2010-10-14
Administrative support for Royal Commissions and certain other inquiries	Attorney-General's	2011-10-19
Administrative support for Royal Commissions and certain other inquiries	Attorney-General's	2011-12-07
Administrative support for Royal Commissions and certain other inquiries	Attorney-General's	2011-12-14
Administrative support for Royal Commissions and certain other inquiries	Attorney-General's	2012-02-09
Administrative support for Royal Commissions and certain other inquiries	Attorney-General's	2013-03-25
Administrative support for Royal Commissions and certain other inquiries	Attorney-General's	2013-05-16
Administrative support for Royal Commissions and certain other inquiries	Attorney-General's	2013-09-18
Administrative support for Royal Commissions and certain other inquiries	Attorney-General's	2013-10-03
Administrative support for Royal Commissions and certain other inquiries	Attorney-General's	2013-12-12
Administrative support for Royal Commissions and certain other inquiries	Attorney-General's	2014-12-23
Administrative support for Royal Commissions and certain other inquiries	Attorney-General's	2015-07-09
Administrative support for Royal Commissions and certain other inquiries	Attorney-General's	2015-09-21
Administrative support for Royal Commissions and certain other inquiries	Attorney-General's	2015-09-30
Administrative support for Royal Commissions and certain other inquiries	Attorney-General's	2016-02-18
Administrative support for Royal Commissions and certain other inquiries	Attorney-General's	2016-07-19
Administrative support for Royal Commissions and certain other inquiries	Attorney-General's	2016-09-01
Administrative support for Royal Commissions and certain other inquiries	Attorney-General's	2016-10-27
Administrative support for Royal Commissions and certain other inquiries	Attorney-General's	2017-04-13
Administrative support for Royal Commissions and certain other inquiries	Attorney-General's	2017-11-30
Administrative support for Royal Commissions and certain other inquiries	Attorney-General's	2017-12-20
